(0.00953,0)
(0.0379898,0)
(0.0478354,0)
(0.0480265,0)
(0.0853459,0)
(0.0760747,0)
(0.0765363,0)
(7.98094,0)
(7.98076,0)
(0.12282,0)
(0.124081,0)
(0.150611,0)
(7.95274,0)
(7.952,0)
(0.16166,0)
(0.161579,0)
(7.90629,0)
(0.232484,0)
(0.187116,0)
(0.189704,0)
(0.190434,0)
(0.190497,0)
(7.90442,0)
(0.237644,0)
(7.90434,0)
(7.90434,0)
(0.269899,0)
(7.87565,0)
(7.87623,0)
(0.273169,0)
(0.23788,0)
(0.3034,0)
(0.301911,0)
(7.84182,0)
(0.33325,0)
(7.83856,0)
(7.82918,0)
(7.8278,0)
(0.368209,0)
(0.372174,0)
(0.374594,0)
(7.76507,0)
(7.76501,0)
(7.75729,0)
(7.75459,0)
(7.75414,0)
(7.72613,0)
(7.72602,0)
(7.75396,0)
(7.65977,0)
(7.6833,0)
(7.68101,0)
(7.67832,0)
(7.67804,0)
(0.346278,0)
(7.65343,0)
(0.346301,0)
(7.61341,0)
(7.6135,0)
(7.58308,0)
(7.58044,0)
(7.54776,0)
(7.5285,0)
(7.53027,0)
(7.53722,0)
(7.53663,0)
(7.5368,0)
(7.5084,0)
(7.50815,0)
(7.41301,0)
(7.43425,0)
(7.43031,0)
(7.46872,0)
(7.46549,0)
(7.46136,0)
(7.40497,0)
(7.33715,0)
(7.39616,0)
(7.39514,0)
(7.46107,0)
(7.33958,0)
(7.31794,0)
(7.30986,0)
(7.31048,0)
(7.31675,0)
(0.387574,0)
(0.386072,0)
(0.421822,0)
(0.421853,0)
(0.374582,0)
(0.448325,0)
(0.493949,0)
(0.491185,0)
(0.486688,0)
(0.478846,0)
(0.479735,0)
(0.488573,0)
(0.569468,0)
(0.577333,0)
(0.570268,0)
(0.615805,0)
(0.60003,0)
(0.59694,0)
(0.594763,0)
(0.594766,0)
(7.27218,0)
(7.2596,0)
(7.25996,0)
(7.25983,0)
(7.23156,0)
(7.23135,0)
(7.21518,0)
(7.19726,0)
(7.19831,0)
(7.02603,0)
(7.18114,0)
(7.12148,0)
(7.10242,0)
(7.11749,0)
(7.09554,0)
(7.05132,0)
(7.03833,0)
(7.03125,0)
(7.21399,0)
(7.17851,0)
(7.11987,0)
(7.09786,0)
(7.03565,0)
(7.04888,0)
(7.18425,0)
(7.1842,0)
(0.62252,0)
(0.62367,0)
(0.624397,0)
(0.666774,0)
(0.667986,0)
(0.673204,0)
(0.673664,0)
(0.718498,0)
(0.789953,0)
(0.785542,0)
(0.767322,0)
(0.757472,0)
(0.726192,0)
(0.730186,0)
(0.736253,0)
(0.736511,0)
(6.97281,0)
(6.96438,0)
(6.95232,0)
(6.79317,0)
(6.8317,0)
(6.82352,0)
(6.89468,0)
(6.89108,0)
(6.87085,0)
(6.93621,0)
(6.86301,0)
(6.93583,0)
(6.90557,0)
(6.81564,0)
(6.85872,0)
(6.81502,0)
(6.90551,0)
(6.93426,0)
(6.93357,0)
(6.93374,0)
(6.85785,0)
(6.77908,0)
(6.79197,0)
(0.818278,0)
(0.819402,0)
(6.75732,0)
(6.72851,0)
(6.726,0)
(0.86943,0)
(0.868724,0)
(6.71175,0)
(6.71183,0)
(6.70066,0)
(0.876657,0)
(6.65823,0)
(6.66443,0)
(6.69995,0)
(6.68544,0)
(0.907275,0)
(0.90817,0)
(0.897658,0)
(6.5982,0)
(0.897669,0)
(0.920667,0)
(0.973384,0)
(0.973464,0)
(6.61167,0)
(1.05978,0)
(0.922155,0)
(0.926007,0)
(0.927443,0)
(6.68171,0)
(6.6113,0)
(1.04579,0)
(1.04011,0)
(1.03478,0)
(1.0242,0)
(0.927868,0)
(6.57357,0)
(1.02892,0)
(0.926467,0)
(1.06686,0)
(1.02378,0)
(1.08642,0)
(1.09449,0)
(1.02925,0)
(1.12113,0)
(1.12089,0)
(1.16165,0)
(1.16459,0)
(6.57201,0)
(6.57192,0)
(1.18868,0)
(1.18983,0)
(1.31931,0)
(1.30824,0)
(1.30564,0)
(1.2032,0)
(1.21241,0)
(1.31955,0)
(1.22085,0)
(6.5538,0)
(1.22408,0)
(1.23362,0)
(6.55242,0)
(6.54547,0)
(6.55374,0)
(6.54296,0)
(6.54362,0)
(1.25929,0)
(6.51651,0)
(6.51173,0)
(6.30754,0)
(6.30531,0)
(6.33173,0)
(6.33123,0)
(6.49996,0)
(6.48569,0)
(6.49713,0)
(6.48953,0)
(6.41293,0)
(1.27104,0)
(6.4323,0)
(6.3971,0)
(6.34639,0)
(6.39247,0)
(1.24331,0)
(1.27178,0)
(6.49383,0)
(6.34868,0)
(1.24339,0)
(6.49372,0)
(1.27188,0)
(6.43091,0)
(6.38312,0)
(6.3641,0)
(6.37124,0)
(6.37165,0)
(6.36421,0)
(1.38509,0)
(1.38186,0)
(1.37725,0)
(1.35986,0)
(1.33753,0)
(1.33721,0)
(1.36136,0)
(6.2237,0)
(6.23175,0)
(6.25093,0)
(6.23181,0)
(6.25094,0)
(1.43959,0)
(1.40855,0)
(1.45372,0)
(1.38472,0)
(6.14404,0)
(6.15017,0)
(6.21119,0)
(6.21246,0)
(6.19148,0)
(6.15933,0)
(6.15918,0)
(6.18493,0)
(6.18242,0)
(6.18752,0)
(6.18748,0)
(1.45785,0)
(1.46007,0)
(1.46816,0)
(1.53693,0)
(1.47011,0)
(1.54041,0)
(1.47505,0)
(1.47541,0)
(6.02891,0)
(6.07537,0)
(6.06604,0)
(6.12062,0)
(6.13306,0)
(6.13502,0)
(6.11166,0)
(6.11126,0)
(6.04341,0)
(6.04614,0)
(6.04229,0)
(6.11425,0)
(6.04579,0)
(1.55832,0)
(1.56503,0)
(1.56708,0)
(1.55886,0)
(1.58275,0)
(5.9945,0)
(5.98937,0)
(5.99841,0)
(6.00327,0)
(1.60839,0)
(5.93295,0)
(5.92223,0)
(6.00277,0)
(5.96691,0)
(5.95235,0)
(1.74305,0)
(1.71963,0)
(1.62993,0)
(5.90674,0)
(5.96423,0)
(5.95893,0)
(1.72442,0)
(1.61644,0)
(1.63718,0)
(1.68108,0)
(1.68247,0)
(1.64221,0)
(5.893,0)
(1.64516,0)
(1.6186,0)
(1.61859,0)
(1.69435,0)
(1.6944,0)
(1.64682,0)
(1.64687,0)
(1.76821,0)
(1.75117,0)
(1.75478,0)
(1.7605,0)
(1.74515,0)
(1.79021,0)
(1.80714,0)
(1.81164,0)
(1.81637,0)
(1.81876,0)
(1.83052,0)
(1.90632,0)
(1.94225,0)
(1.91248,0)
(1.84279,0)
(1.84351,0)
(1.92119,0)
(1.92307,0)
